Temple,Latitude,Longitude,LatitudeDegrees,LongitudeDegress,Address,City,State,Postal Code,Country,Phone
Salta Argentina Temple,-24.837197,-65.470001,"24°50'13""S","65°28'12""W",Ruta 51,Salta,,,Argentina,
Salvador Brazil Temple,-12.929251,-38.386386,"12°55'45""S","38°23'10""W",,Salvador,Bahia,,Brazil,
San Antonio Texas Temple,29.641481,-98.488789,"29°38'29""N","98°29'19""W",20080 Stone Oak Parkway,San Antonio,Texas,78258-6920,United States,(+1) 210-538-0034
San Diego California Temple,32.866389,-117.228769,"32°51'59""N","117°13'43""W",7474 Charmant Drive,San Diego,California,92122-5000,United States,(+1) 858-622-0991
San José Costa Rica Temple,9.986418,-84.184831,"9°59'11""N","84°11'5""W",Del Hotel Marriott 600 Metros Oeste La Ribera de Belén,Heredia,,40702,Costa Rica,(+506) 2293-6681
San Juan Puerto Rico Temple,18.385623,-66.029896,"18°23'8""N","66°1'47""W",123 Calle Ronda Urbanización Villa Andalucía,San Juan,,926,Puerto Rico,
San Pedro Sula Honduras Temple,15.522544,-88.036856,"15°31'21""N","88°2'12""W",Bulevar Mario Catarino Rivas,San Pedro Sula,Cortés,,Honduras,
San Salvador El Salvador Temple,13.683347,-89.246822,"13°41'0""N","89°14'48""W",Avenida El Espino y Calle El Pedregal Colonia San Benito,Antiguo Cuscatlán,La Libertad,,El Salvador,(+503) 2520-2631
Santiago Chile Temple,-33.436174,-70.609521,"33°26'10""S","70°36'34""W",Pocuro 1940 Providencia,Santiago,Región Metropolitana,664-1404,Chile,(+56) 22-340-5070
Santo Domingo Dominican Republic Temple,18.466567,-69.917144,"18°27'59""N","69°55'1""W",Avenida Bolivar no. 825 Los Robles,Santo Domingo,Distrito Nacional,10106,Dominican Republic,(+1) 809-731-2000
São Paulo Brazil Temple,-23.585174,-46.722764,"23°35'6""S","46°43'21""W",Avenida Professor Francisco Morato 2390 Caxingui,São Paulo,São Paulo,05512-900,Brazil,(+55) 11-3723-7600
Sapporo Japan Temple,43.0249,141.4457,"43°1'29""N","141°26'44""E",1-6-1 Oyachi-Nishi Atsubetsu-ku,Sapporo,Hokkaid?,004-0042,Japan,(+81) 11-890-8120
Saratoga Springs Utah Temple,40.343707,-111.933257,"40°20'37""N","111°55'59""W", 987 South Ensign Drive,Saratoga Springs,Utah,,United States,
Seattle Washington Temple,47.58407,-122.140876,"47°35'2""N","122°8'27""W",2808 148th Avenue SE,Bellevue,Washington,98007-6453,United States,(+1) 425-643-5144
Seoul Korea Temple,37.558913,126.931286,"37°33'32""N","126°55'52""E",500-23 Changcheon-dong Seodaemun-gu,Seoul-si,Seoul-teukbyeolsi,120-836,South Korea,(+82) 2-334-9100
Snowflake Arizona Temple,34.502494,-110.111607,"34°30'8""N","110°6'41""W",1875 West Canyon Drive,Snowflake,Arizona,85937,United States,(+1) 928-536-6626
Spokane Washington Temple,47.620163,-117.22069,"47°37'12""N","117°13'14""W",13710 East 40th Avenue,Spokane,Washington,99206,United States,(+1) 509-926-2824
St. George Utah Temple,37.100535,-113.578041,"37°6'1""N","113°34'40""W",250 East 400 South,St. George,Utah,84770-3699,United States,(+1) 435-673-3533
St. Louis Missouri Temple,38.639651,-90.464685,"38°38'22""N","90°27'52""W",12555 North Outer Forty Drive,St. Louis,Missouri,63141-8620,United States,(+1) 314-514-1122
St. Paul Minnesota Temple,44.980261,-92.965199,"44°58'48""N","92°57'54""W",2150 Hadley Avenue North,Oakdale,Minnesota,55128-4505,United States,(+1) 651-748-5910
Star Valley Wyoming Temple,42.712073,-110.932532,"42°42'43""N","110°55'57""W",885 South Washington Street,Afton,Wyoming,,United States,(+1) 307-886-6820
Stockholm Sweden Temple,59.124676,18.109177,"59°7'28""N","18°6'33""E",Tempelvägen 5,Västerhaninge,,SE-13742,Sweden,(+46) 8-5006-5500
Suva Fiji Temple,-18.119705,178.438559,"18°7'10""S","178°26'18""E",2-20 Lakeba Street,Samabula,Suva,,Fiji,(+679) 338-8952
Sydney Australia Temple,-33.775617,151.050592,"33°46'32""S","151°3'2""E",756 Pennant Hills Road (Corner of Pennant Hills Road and Moseley Street),Carlingford,New South Wales,2118,Australia,(+61) 2-9841-5471
Syracuse Utah Temple,41.099938,-112.076542,"41°5'59""N","112°4'35""W",2500 West and 1025 South,Syracuse,Utah,,United States,
Taipei Taiwan Temple,25.031377,121.527794,"25°1'52""N","121°31'40""E",256 Ai Kuo East Road,Taipei,,106,Taiwan,(+886) 2-2192-4930
Tallahassee Florida Temple,30.520073,-84.238088,"30°31'12""N","84°14'17""W",,Tallahassee,Florida,,United States,
Tampico Mexico Temple,22.254262,-97.855869,"22°15'15""N","97°51'21""W",Avenida Ejército Mexicano no. 74 con 3A Avenida Colonia Lomas del Gallo,Ciudad Madero,Tamaulipas,89480,Mexico,(+52) 833-216-9660
Taylorsville Utah Temple,40.666741,-111.954768,"40°40'0""N","111°57'17""W",,Taylorsville,Utah,,United States,
Tegucigalpa Honduras Temple,14.052174,-87.238019,"14°3'7""N","87°14'16""W",Residenciales Roble Oeste Boulevard Roble Oeste 3ra Calle Sur,Comayagüela,Francisco Morazán,,Honduras,(+504) 2264-1212
The Gila Valley Arizona Temple,32.862971,-109.789974,"32°51'46""N","109°47'23""W",5291 West Highway 70,Central,Arizona,85531,United States,(+1) 928-428-7243
The Hague Netherlands Temple,52.054487,4.502979,"52°3'16""N","4°30'10""E",Osijlaan 2,Zoetermeer,,NL-2722 CV,Netherlands,(+31) 79-343-5310
Tijuana Mexico Temple,32.488713,-116.929441,"32°29'19""N","116°55'45""W",Paseo Del Rio 6832 Esquina Campestre Oriente Col 3 RA Etapa Rio Tijuana,Tijuana,Baja California,22226,Mexico,(+52) 664-969-2690
Tokyo Japan Temple,35.652838,139.724539,"35°39'10""N","139°43'28""E",5-8-10 Minami Azabu Minato-Ku,Tokyo,, 106-0047,Japan,
Tooele Valley Utah Temple,40.608321,-112.295994,"40°36'29""N","112°17'45""W",Northwest of Erda Way and Highway 36,Erda,Utah,84074,United States,
Toronto Ontario Temple,43.744338,-79.746059,"43°44'39""N","79°44'45""W",10060 Bramalea Road,Brampton,Ontario,L6R 1A1,Canada,(+1) 905-799-1122
Trujillo Peru Temple,-8.100149,-79.058515,"8°6'0""S","79°3'30""W",Av. Mansiche Km 35 Carretera hacia Huanchaco,Trujillo,La Libertad,,Peru,(+51) 44-602-130
Tucson Arizona Temple,32.338454,-110.949174,"32°20'18""N","110°56'57""W",7281 N Skyline Dr,Tucson,Arizona,85718,United States,(+1) 520-395-3900
Tuxtla Gutiérrez Mexico Temple,16.764164,-93.159155,"16°45'50""N","93°9'32""W",Carretera a Chicoasen Chiapas Kilómetro 14 Esquina Paseo de la Roseta Fraccionamiento San José Chapultepec,Tuxtla Gutiérrez,Chiapas,29047,Mexico,(+52) 961-615-8287
Twin Falls Idaho Temple,42.586827,-114.441509,"42°35'12""N","114°26'29""W",1405 Eastland Drive North,Twin Falls,Idaho,83301,United States,(+1) 208-736-7070
Urdaneta Philippines Temple,15.938567,120.581762,"15°56'18""N","120°34'54""E",MacArthur Highway,Urdaneta,,,Philippines,
Vancouver British Columbia Temple,49.151212,-122.658009,"49°9'4""N","122°39'28""W",20370 82nd Avenue,Langley,British Columbia,V2Y 2A9,Canada,(+1) 604-513-5933
Veracruz Mexico Temple,19.13441,-96.10626,"19°8'3""N","96°6'22""W",Avenida Ejército Mexicano Esquina Michoacán Colonia Luís Echeverría,Boca del Río,Veracruz,94290,Mexico,(+52) 229-922-9621
Vernal Utah Temple,40.453205,-109.537413,"40°27'11""N","109°32'14""W",170 South 400 West,Vernal,Utah,84078-2536,United States,(+1) 435-789-3220
Villahermosa Mexico Temple,17.981276,-92.937375,"17°58'52""N","92°56'14""W",Avenida 27 de Febrero no. 1717 Colonia Atasta de Serra,Villahermosa,Tabasco,86100,Mexico,(+52) 993-352-2028
Washington D.C. Temple,39.014079,-77.065624,"39°0'50""N","77°3'56""W",9900 Stoneybrook Drive,Kensington,Maryland,20895-3199,United States,(+1) 301-588-0650
Winnipeg Manitoba Temple,49.800544,-97.195212,"49°48'1""N","97°11'42""W",2 Centre Street,Winnipeg,Manitoba,,Canada,
Winter Quarters Nebraska Temple,41.334075,-95.96619,"41°20'2""N","95°57'58""W",8283 North 34th Street,Omaha,Nebraska,68112-2114,United States,(+1) 402-453-3406
Yigo Guam Temple,13.541741,144.890143,"13°32'30""N","144°53'24""E",Marine Corps Drive and Milalak Drive,Yigo,,,Guam,
